MEDCOD,MEFCOD,MEDNOM,MEDPRES,MEDCNC,MEDTIP,MEDPET,MEDFF,MEDEST,MEDESTVTA,MEDFACTPER,MEDTRANAC,MEDTRALOC,MEDCOMP,MEDPS,MEDCS,MEDHI,MEDACT,MEDINDVCTO,PRDPREADQ,PRDPREDIST,PRDPREOPE,PRDINDACT,PRDSTKMIN,PRDSTKMAX,PRDPTOREP,PRDSIT,PRDADI,PRDFECHULT,MEDREGSAN,PREADQ_DO,PREDIS_DO,PREOPE_DO,PRDTIPOMED,MEDNOMABR,MEDNARCOT,MNARCOT,TIPONC,TCATALOGO,CODIGO_SIG,ESTADO,FECULTPREC,FECHAVRS,PRDSTKPROM,_NullFlags
00356,,ACIDO ALENDRONICO (COMO ALENDRONATO SODICO),,70 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.126,0.14175,0.16,,0,0,0,1,N,2020-12-28 00:00:00,EN-00343,0.0,0.0,0.0,X,,,,,,586800010004,C,2020-07-01,,0,b'\x00'
00389,,ALOPURINOL,,100 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,580200480001,C,2019-04-16,,0,b'\x00'
00390,,ALOPURINOL,,300 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,580200480002,C,2019-04-16,,0,b'\x00'
00393,,ALPRAZOLAM,,500 µg (0.5 mg),M,P,TABLET,_,,,,,,_,_,_,1,S,0.014626,0.016454,0.02,,0,0,0,1,N,2020-12-28 00:00:00,EN-05383,0.0,0.0,0.0,X,,P,,,1,584900030003,C,2020-09-01,,0,b'\x00'
00396,,ALPROSTADIL,1 mL,500 µg/mL,M,_,INYECT,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,583000520002,C,,,0,b'\x00'
00408,,ALTEPLASA (ACTIVADOR DE PLASMINOGENO TISULAR),,50 mg,M,P,INYECT,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,582800340001,C,,,0,b'\x00'
00476,,SIMETICONA,,80 mg,M,_,TABLET,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,583800220012,C,2019-04-16,,0,b'\x00'
00496,,ALUMINIO HIDROXIDO + MAGNESIO HIDROXIDO,120 mL,300 - 400 mg/5 mL,M,_,SUSPEN,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,583800700005,C,,,0,b'\x00'
00497,,ALUMINIO HIDROXIDO + MAGNESIO HIDROXIDO,150 mL,300 - 400 mg/5 mL,M,_,SUSPEN,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,2.0,2.0,2.0,X,,,,,,583800700004,C,2019-04-16,,0,b'\x00'
00620,,AMFOTERICINA B,10 mL,50 mg,M,_,INYECT,E,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,33.0,37.0,41.0,X,,,,,,581800050003,C,2019-04-16,,0,b'\x00'
00624,,AMIKACINA (COMO SULFATO),4 mL,1 g,M,_,INYECT,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,580900030004,C,2019-04-16,,0,b'\x00'
00625,,AMIKACINA (COMO SULFATO),2 mL,50 mg/mL,M,P,INYECT,_,,,,,,_,_,_,1,S,0.405832,0.45,0.5,,0,0,0,1,N,2020-12-28 00:00:00,,1.0,1.0,1.0,X,,,,,1,580900030002,C,2019-08-16,,0,b'\x00'
00627,,AMIKACINA (COMO SULFATO),2 mL,250 mg/mL,M,P,INYECT,_,,,,,,_,_,_,1,S,0.91076,1.024537,1.1,,0,0,0,1,N,2020-12-28 00:00:00,EE-04499,0.0,0.0,0.0,X,,,,,1,580900030001,C,2020-05-01,,0,b'\x00'
00638,,AMINOACIDOS,250 mL,10 %,M,_,INYECT,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,587500010007,C,,,0,b'\x00'
00639,,AMINOACIDOS,500 mL,10 %,M,_,INYECT,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,587500010005,C,,,0,b'\x00'
00662,,AMINOFILINA,10 mL,25 mg/mL,M,P,INYECT,_,,,,,,_,_,_,1,S,0.821715,0.92,1.0,,0,0,0,1,N,2020-12-28 00:00:00,,1.0,1.0,1.0,X,,,,,,585000520001,C,2019-08-16,,0,b'\x00'
00663,,AMIODARONA CLORHIDRATO,3 mL,50 mg/mL,M,P,INYECT,_,,,,,,_,_,_,1,S,4.8,5.4,6.0,,0,0,0,1,N,2020-12-28 00:00:00,S/REGISTRO,0.0,0.0,0.0,X,,,,,,583000450001,C,2020-03-26,,0,b'\x00'
00664,,AMIODARONA CLORHIDRATO,,200 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,1.29,1.45125,1.61,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,583000450002,C,2020-06-01,,0,b'\x00'
00670,,AMITRIPTILINA CLORHIDRATO,,25 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.101,0.111,0.12,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,P,,,,584900310001,C,2019-08-16,,0,b'\x00'
00671,,AMLODIPINO (COMO BESILATO),,10 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.06,0.0675,0.08,,0,0,0,1,N,2020-12-28 00:00:00,EN-00370,0.0,0.0,0.0,X,,,,,1,583100020001,C,2019-11-01,,0,b'\x00'
00673,,AMLODIPINO (COMO BESILATO),,5 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.05,0.05625,0.06,,0,0,0,1,N,2020-12-28 00:00:00,EN00369,0.0,0.0,0.0,X,,,,,1,583100020002,C,2020-06-01,,0,b'\x00'
00701,,AMOXICILINA + BROMHEXINA,60 mL,500 mg + 4 mg/5 mL,M,_,SUSPEN,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,585300290014,C,2019-04-16,,0,b'\x00'
00725,,AMOXICILINA + ACIDO CLAVULANICO (COMO SAL POTASICA),60 mL,250 mg + 62.5 mg/5 mL,M,P,SUSPEN,_,,,,,,_,_,_,1,S,3.5,3.9375,4.0,,0,0,0,1,N,2020-12-28 00:00:00,EN-04818,0.0,0.0,0.0,X,,,,,1,580700150006,C,2020-05-01,,0,b'\x00'
00750,,AMOXICILINA + ACIDO CLAVULANICO (COMO SAL POTASICA),,500 mg + 125 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.292,0.32,0.35,,0,0,0,1,N,2020-12-28 00:00:00,EE-03633,1.0,1.0,1.0,X,,,,,1,580700150007,C,2019-08-16,,0,b'\x00'
00783,,AMOXICILINA,60 mL,125 mg/5 mL,M,P,SUSPEN,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,1.0,1.0,1.0,X,,,,,1,580700100003,C,2019-04-16,,0,b'\x00'
00786,,AMOXICILINA,120 mL,250 mg/5 mL,M,P,SUSPEN,S,1,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,3.0,4.0,4.0,X,,,,,1,580700100002,C,2019-04-16,,0,b'\x00'
00794,,AMOXICILINA,60 mL,250 mg/5 mL,M,P,SUSPEN,_,,,,,,_,_,_,1,S,1.4697,1.7636,1.8,,0,0,0,1,N,2020-12-28 00:00:00,EN-04233,1.0,2.0,2.0,X,,,,,1,580700100009,C,2019-08-16,,0,b'\x00'
00807,,AMOXICILINA,,250 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.08,0.09,0.1,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,1,580700100004,C,2019-09-01,,0,b'\x00'
00808,,AMOXICILINA,,500 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.1181,0.1299,0.14,,0,0,0,1,N,2020-12-28 00:00:00,EE-02329,0.0,0.0,0.0,X,,,,,1,580700100007,C,2019-08-16,,0,b'\x00'
00822,,AMPICILINA (COMO SAL SODICA) + SULBACTAM (COMO SAL SODICA),,1 g + 500 mg,M,_,INYECT,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,580700020001,C,2019-04-16,,0,b'\x00'
00823,,AMPICILINA + SULBACTAM,100 mL,1 g + 500 mg,M,P,INYECT,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,580700020009,C,,,0,b'\x00'
00830,,AMPICILINA SODICA,,1 g,M,P,INYECT,_,,,,,,_,_,_,1,S,0.853253,0.938578,1.0,,0,0,0,1,N,2020-12-28 00:00:00,,1.0,1.0,1.0,X,,,,,1,580700090007,C,2019-08-16,,0,b'\x00'
00834,,AMPICILINA SODICA,,500 mg,M,P,INYECT,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,1.34321,1.511111,1.7,X,,,,,,580700090004,C,2019-04-16,,0,b'\x00'
00859,,ANASTROZOL,,1 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,582600050002,C,2019-04-16,,0,b'\x00'
00885,,ARTESUNATO,,250 mg,M,_,TABLET,E,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,6.93,7.796,8.66,X,,,,,,582100060001,C,2019-04-16,,0,b'\x00'
00886,,ARTESUNATO,,50 mg,M,_,TABLET,E,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,2.0,2.0,2.0,X,,,,,,582100060003,C,2019-04-16,,0,b'\x00'
00890,,ASPARAGINASA,,10000 UI,M,P,INYECT,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,582600570001,C,2019-04-16,,0,b'\x00'
00900,,ATENOLOL,,100 mg,M,P,TABLET,S,1,,,,,_,_,_,1,S,0.056,0.063,0.07,,0,0,0,1,N,2020-12-28 00:00:00,EE-03243,0.0,0.0,0.0,X,,,,,1,583100370001,C,2019-09-01,,0,b'\x00'
00902,,ATORVASTATINA,,10 mg,M,_,TABLET,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,583200130002,C,2019-04-16,,0,b'\x00'
00903,,ATORVASTATINA (COMO SAL CALCICA),,20 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.0439,0.049387,0.05,,0,0,0,1,N,2020-12-28 00:00:00,S/REGISTRO,0.0,0.0,0.0,X,,,,,1,583200130001,C,2020-05-01,,0,b'\x00'
00904,,ATORVASTATINA (COMO SAL CALCICA),,40 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.069,0.077625,0.08,,0,0,0,1,N,2020-12-28 00:00:00,S/R000,0.0,0.0,0.0,X,,,,,1,583200130003,C,2020-05-01,,0,b'\x00'
00908,,ATROPINA SULFATO,1 mL,250 µg/mL (0.25 mg/mL),M,_,INYECT,S,1,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,580400170001,C,2019-04-16,,0,b'\x00'
00909,,ATROPINA SULFATO,1 mL,500 µg/mL (0.5 mg/mL),M,P,INYECT,S,1,,,,,_,_,_,1,S,0.504,0.567,0.63,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,1,580400170002,C,2020-03-26,,0,b'\x00'
00910,,ATROPINA SULFATO,1 mL,1 mg/mL,M,P,INYECT,_,,,,,,_,_,_,1,S,0.28,0.315,0.35,,0,0,0,1,N,2020-12-28 00:00:00,EN-00304,0.0,0.0,0.0,X,,,,,1,580400170003,C,2019-09-01,,0,b'\x00'
00914,,ATROPINA SULFATO (SOLUCION OFTALMICA),5 mL,10 mg/mL (1 %),M,P,SOLUCI,_,,,,,,_,_,_,1,S,11.441806,13.730167,14.3,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,584400700004,C,2019-08-16,,0,b'\x00'
00921,,AZATIOPRINA,,50 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,582600890001,C,,,0,b'\x00'
00930,,AZITROMICINA,15 mL,200 mg/5 mL,M,P,SUSPEN,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,581000080006,C,2018-05-10,,0,b'\x00'
00933,,AZITROMICINA,30 mL,200 mg/5 mL,M,P,SUSPEN,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,1,581000080004,C,2019-04-16,,0,b'\x00'
00939,,AZITROMICINA,60 mL,200 mg/5 mL,M,P,SUSPEN,_,,,,,,_,_,_,1,S,3.5137,3.952912,4.2,,0,0,0,1,N,2020-12-28 00:00:00,EN-01250,0.0,0.0,0.0,X,,,,,1,581000080002,C,2020-08-01,,0,b'\x00'
00946,,AZITROMICINA,,250 mg,M,_,TABLET,_,,,,,,_,_,_,1,S,0.8,0.9,1.0,,0,0,0,1,N,2020-12-28 00:00:00,2397-2020,0.8,0.9,1.0,X,,,,,,581000080001,C,2020-06-12,,0,b'\x00'
00947,,AZITROMICINA,,500 mg,M,P,TABLET,S,1,,,,,_,_,_,1,S,0.3703,0.416587,0.45,,0,0,0,1,N,2020-12-28 00:00:00,EE-01129,6.440023,7.245025,8.05,X,,,,,1,581000080007,C,2020-07-15,,0,b'\x00'
00987,,BACITRACINA ZINC + NEOMICINA SULFATO,15 g,50000 UI + 500 mg/100 g,M,_,CREMA,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,3.950617,4.444444,5.0,X,,,,,,585400350004,C,2019-04-16,,0,b'\x00'
00990,,BACLOFENO,,10 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,586300020001,C,2019-04-16,,0,b'\x00'
01009,,BECLOMETASONA DIPROPIONATO,200 DOSIS,250 µg/DOSIS,M,P,AEROSO,_,,,,,,_,_,_,1,S,6.990467,8.38856,8.7,,0,0,0,1,N,2020-12-28 00:00:00,EE-01079,0.0,0.0,0.0,X,,,,,1,585000070002,C,2019-08-16,,0,b'\x00'
01012,,BECLOMETASONA DIPROPIONATO,200 DOSIS,50 µg/DOSIS,M,P,AEROSO,_,,,,,,_,_,_,1,S,6.0762,6.83,7.5,,0,0,0,1,N,2020-12-28 00:00:00,EE-01081,0.0,0.0,0.0,X,,,,,1,585000070001,C,2019-08-16,,0,b'\x00'
01029,,BENCILPENICILINA PROCAINICA,,1000000 UI,M,P,INYECT,S,1,,,,,_,_,_,1,S,0.32,0.36225,0.4,,0,0,0,1,N,2020-12-28 00:00:00,EE-00047,1.0,1.0,1.0,X,,,,,,580700110003,C,2021-05-10,,0,b'\x00'
01032,,BENCILPENICILINA SODICA,,1000000 UI,M,P,INYECT,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,1.0,1.0,1.0,X,,,,,,580700170001,C,2019-04-16,,0,b'\x00'
01043,,BENZATINA BENCILPENICILINA,,1200000 UI,M,P,INYECT,_,,,,,,_,_,_,1,S,0.44,0.495,0.55,,0,0,0,1,N,2020-12-28 00:00:00,NR/0000,1.0,1.0,1.0,X,,,,,,580700160003,C,2019-09-01,,0,b'\x00'
01045,,BENZATINA BENCILPENICILINA,,600000 UI,M,_,INYECT,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,1.264197,1.422222,1.6,X,,,,,,580700160004,C,2019-04-16,,0,b'\x00'
01053,,BENZOATO DE BENCILO,120 mL,25 g/100 mL (25 %),M,P,LOCION,_,,,,,,_,_,_,1,S,1.9769,2.224012,2.4,,0,0,0,1,N,2020-12-28 00:00:00,EN-03998,0.0,0.0,0.0,X,,,,,1,583300950004,C,2020-05-01,,0,b'\x00'
01203,,BETAMETASONA,15 g,50 mg/100 g,M,_,CREMA,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,583300990009,C,,,0,b'\x00'
01205,,BETAMETASONA (COMO DIPROPIONATO),20 g,50 mg/100 g (0.05 %),M,P,CREMA,_,,,,,,_,_,_,1,S,0.804087,0.904601,1.01,,0,0,0,1,N,2020-12-28 00:00:00,EN06410,0.0,0.0,0.0,X,,,,,1,583300990002,C,2020-07-01,,0,b'\x00'
01212,,BETAMETASONA VALERATO,5 g,100 mg/100 g,M,_,UNGÜEN,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,583300990023,C,,,0,b'\x00'
01213,,BETAMETASONA (COMO FOSFATO SODICO),1 mL,4 mg/mL,M,P,INYECT,S,1,,,,,_,_,_,1,S,0.797,0.896625,1.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,1,587100020001,C,2020-05-01,,0,b'\x00'
01228,,BICALUTAMIDA,,150 mg,M,_,TABLET,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,582600070003,C,2019-04-16,,0,b'\x00'
01229,,BICALUTAMIDA,,50 mg,M,_,TABLET,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,0.0,0.0,0.0,X,,,,,,582600070002,C,2019-04-16,,0,b'\x00'
01242,,BIPERIDENO LACTATO,1 mL,5 mg/mL,M,P,INYECT,S,1,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2020-12-28 00:00:00,,8.0,9.0,10.0,X,,,,,,582700090001,C,2019-04-16,,0,b'\x00'
